grna_target,weighted_score
Yap1,0.1728822782904153
Crim1,0.17534485117379717
Prdm16,0.11445898294962581
Plagl1,0.11285853713019244
Nos3,0.10971620223105115
Tek,0.12312662093334138
Fos,0.11315179517836278
Mdh2,0.07915010979544933
Fzd6,0.058951438413273834
Ahr,0.056941717583608935
Tlnrd1,0.04969225288634165
Itgav,0.049043690950909144
E2f3,0.04261712113131214
Idh2,0.048175232523356606
Flt1,0.05766309230977271
Flt4,0.05393469738892989
Creb5,0.04742719224893271
Heg1,0.0515776369116084
Mxi1,0.03801052400702803
Epas1,0.03236257894592691
Gata2,0.03772662711544589
Dlg1,0.036322244042263765
Foxk2,0.04550212591266371
Nr4a1,0.02995837782879244
Ncoa3,0.03265474522213718
Ptprm,0.025664056619139432
Piezo1,0.024232761168569032
Ctbp2,0.028678933003645664
Tfdp1,0.03283894542746923
Sox13,0.0248263461046141
Sox5,0.026217474783700137
Ccnd1,0.025203309506072736
Nr5a2,0.02032941666545718
Egln2,0.020371137890160304
Egln1,0.018143388446276606
Sp4,0.021937143471931323
Crem,0.01897250970757824
Myef2,0.014507263901329628
Adgre5,0.014611366736723187
Gng12,0.014280754290362747
Prdm5,0.013187653674629285
Il2rg,0.0003691417291615505
Nr4a2,5.83215046822776e-05
Pbx1,0.00919288044506726
Klf12,0.0008715072623291986
Disc1,0.012683602432176519
Hsp90ab1,0.011033229866289329
Pkm,0.00036723764947000194
Klf10,0.008372255787017804
Nr2c2,0.00036630654266865095
Zfhx3,0.00836368781721215
Bsg,0.005136433808097019
Id3,0.005538809752591814
Kdr,0.00017674859627620187
Ncoa1,0.00654119157953106
Ppia,0.00541331538254271
Ocln,0.005948824809650878
Mcam,0.0008506228799057094
Arid3b,0.0010809192812010903
Fzd4,5.7988134872747425e-05
Dach1,0.0015458440466380237
Nr6a1,0.0004873770833842815
Ptprs,0.004273837951206572
Ptk2,0.004325402467525638
Ncl,0.003905292763760272
Adgrl2,0.003965782619684609
Npas3,0.003384965367885807
Nfib,0.0007139951407891997
Ogdh,0.003310251175222746
Bmpr2,0.0033093079779495946
Foxp1,0.003492339173308274
Plxna2,0.004179345265536097
Ebf1,0.0008734192009150765
Plxna4,0.0036771412599881596
Igf1r,0.00273288703752522
Gjc1,0.0025096228345452463
Arnt,0.0008395032052557146
Rel,0.002592692633229305
Nfatc1,0.0009260402766769804
Ephb4,0.002860543467858556
E2f7,0.0006502355008294737
Foxo3,0.0023957089735146117
Nrp2,0.0026718868319058546
Hspa5,0.0020049518112159473
Auts2,0.0006996468390855126
Gria4,0.0008724648721486686
Nr3c1,0.0007075225404932721
Vav3,0.0008464244121140394
Flrt2,0.0007278045339638399
Igf2r,0.0017374050627968194
Junb,0.0016532299868812497
Hif1a,0.0007855929889951609
Rad21,0.001798028671599687
Rac1,0.0019237053256196271
Mpzl1,0.0020958028360998286
Nrp1,0.0006609906353078454
Klf4,0.0014820887121837956
Pbx3,0.0007055602113465633
Gnai2,0.0016823663505032794
Taz,0.0011494623994203394
Rora,0.0012290223075557057
Ccser1,0.000720286577711626
Casp8,0.0007994133258575222
Foxo1,0.0005501470048719525
Fgfr2,0.0003582755215879317
Gja1,0.0003686730516863332
Tfdp2,0.0004607574680305775
Foxj3,0.00033446089618705595
Arid1b,0.000316194806194399
Cd47,0.00014121212265701593
Hdac7,0.00019646477692839294
Acvr1,0.00015612439872671083
Plxnd1,0.00014803095345439576
Klf2,6.32721592573131e-05
Rbpj,6.59757783838515e-05
Creb3l2,6.836384754343802e-05
Smad5,7.015734744207241e-05
Pon3,2.137058964827609e-05
