gene,score,pvalue,fdr
Ccnd1,0.00847457627118644,0.00013437378982317227,0.020827937422591702
Zfhx3,0.0196078431372549,0.0004985250231260988,0.020827937422591702
Tfdp1,0.025423728813559324,0.0005597737332731106,0.020827937422591702
Ncoa1,0.00980392156862745,0.0012748613940042456,0.020827937422591702
Nrp2,0.05084745762711865,0.0013584539097944298,0.020827937422591702
Acvr2a,0.0078125,0.0018750281929090383,0.020827937422591702
Creb3l2,0.09433962264150944,0.00560528039932251,0.020827937422591702
Tek,0.018867924528301886,0.006192513180115358,0.020827937422591702
Ccser1,0.078125,0.007884518985375873,0.020827937422591702
Plagl1,0.05042016806722689,0.007998839563697402,0.020827937422591702
Crim1,0.008403361344537815,0.013468904989749895,0.020827937422591702
Epas1,0.1016949152542373,0.02306791324099322,0.020827937422591702
Flt4,0.07547169811320754,0.030656411941777168,0.020827937422591702
Creb5,0.109375,0.05173453922127276,0.020827937422591702
Fzd6,0.07563025210084033,0.05351255804939333,0.020827937422591702
Egfl7,0.0423728813559322,0.05524035799274015,0.020827937422591702
Mxi1,0.07627118644067797,0.05749417814368638,0.020827937422591702
Cd81,0.03125,0.08487383538917286,0.020827937422591702
Flt1,0.08403361344537816,0.10951705836125478,0.020827937422591702
Fkbp8,0.015625,0.11837356497016671,0.020827937422591702
Yap1,0.01680672268907563,0.12680507520164216,0.020827937422591702
Smad5,0.059322033898305086,0.1526492659895575,0.020827937422591702
Hsp90ab1,0.16981132075471697,0.16481982046026827,0.020827937422591702
Arid3b,0.0234375,0.16850043120848568,0.020827937422591702
Mpzl1,0.0625,0.22597005628084268,0.020827937422591702
Nr2c2,0.046875,0.22976195281299208,0.020827937422591702
Prdm16,0.03361344537815126,0.23931118297409273,0.020827937422591702
Mdh2,0.06722689075630252,0.27031926518505417,0.020827937422591702
Kdr,0.0390625,0.27295526408101306,0.020827937422591702
Hspa5,0.125,0.28600028778941305,0.020827937422591702
Idh2,0.0784313725490196,0.2900847290837369,0.020827937422591702
Fos,0.04201680672268908,0.2906458407226848,0.020827937422591702
Rad21,0.046875,0.31891880678847073,0.020827937422591702
Gng12,0.2830188679245283,0.32131261265318634,0.020827937422591702
Ncl,0.06862745098039216,0.34284638543041845,0.020827937422591702
Foxk2,0.15126050420168066,0.34632904348180865,0.020827937422591702
Plxna2,0.171875,0.3533663238067455,0.020827937422591702
Nr4a2,0.0546875,0.3623193991269504,0.020827937422591702
Nos3,0.058823529411764705,0.3843009404604095,0.020827937422591702
Nfib,0.1328125,0.4047851848178961,0.020827937422591702
Ocln,0.1694915254237288,0.41373059862035394,0.020827937422591702
Nr4a1,0.2184873949579832,0.45151826051221716,0.020827937422591702
Crem,0.1796875,0.45462855974656163,0.020827937422591702
Itgav,0.12605042016806722,0.4557315815533922,0.020827937422591702
Gclm,0.1875,0.4611302150065337,0.020827937422591702
Adgre5,0.16101694915254236,0.49702019657411883,0.020827937422591702
Ets2,0.13043478260869565,0.5023950240927992,0.020827937422591702
Heg1,0.1092436974789916,0.5037837577223439,0.020827937422591702
Gnai2,0.13559322033898305,0.5138244601078075,0.020827937422591702
Ahr,0.09243697478991597,0.5397282154053011,0.020827937422591702
Fzd4,0.09375,0.5450285378310582,0.020827937422591702
Pik3r3,0.1015625,0.5503596750268116,0.020827937422591702
Prdm5,0.22549019607843138,0.5590744425043143,0.020827937422591702
Sox13,0.2605042016806723,0.5612672789913082,0.020827937422591702
Icam2,0.2578125,0.5661003610479288,0.020827937422591702
Nr5a2,0.29411764705882354,0.5665020324840953,0.020827937422591702
Disc1,0.11016949152542373,0.5791888405197774,0.020827937422591702
Plxna4,0.2457627118644068,0.5898810067439821,0.020827937422591702
Cdkn1c,0.109375,0.5927890263961011,0.020827937422591702
Ctbp2,0.226890756302521,0.625159975902896,0.020827937422591702
Tlnrd1,0.11764705882352941,0.6326003811519283,0.020827937422591702
Ncoa3,0.20168067226890757,0.68133103542898,0.020827937422591702
Gjc1,0.140625,0.702517293476145,0.020827937422591702
Dusp3,0.1640625,0.7384745062389833,0.020827937422591702
Unc5b,0.15625,0.7431318329463465,0.020827937422591702
E2f3,0.15966386554621848,0.7513294763692882,0.020827937422591702
Hif1a,0.38235294117647056,0.7629744939040393,0.020827937422591702
Dlg1,0.18487394957983194,0.7784158550542286,0.020827937422591702
Sox5,0.23529411764705882,0.7874455501200075,0.020827937422591702
Gata2,0.17647058823529413,0.7884403136889403,0.020827937422591702
Klf2,0.3235294117647059,0.8064027539676649,0.020827937422591702
Klf7,0.1875,0.8100728911813349,0.020827937422591702
Dag1,0.1953125,0.824200336092148,0.020827937422591702
Piezo2,0.203125,0.8373995972741533,0.020827937422591702
Igf1r,0.2421875,0.8538387417032083,0.020827937422591702
Ptprs,0.44537815126050423,0.8648387834065003,0.020827937422591702
Cd47,0.2265625,0.8719434492994272,0.020827937422591702
Adgrl1,0.3828125,0.8797052746520106,0.020827937422591702
Ptprm,0.24369747899159663,0.8929554934834483,0.020827937422591702
Mecom,0.3359375,0.9000044918857384,0.020827937422591702
Pon3,0.265625,0.9154053161669218,0.020827937422591702
Ppia,0.42016806722689076,0.9172867875306672,0.020827937422591702
Piezo1,0.2689075630252101,0.9183834317755143,0.020827937422591702
Eno1,0.2734375,0.9223424238435575,0.020827937422591702
Sp4,0.2773109243697479,0.9255933213867094,0.020827937422591702
Adgrl2,0.4375,0.932182746447094,0.020827937422591702
Egln2,0.2857142857142857,0.9322396384541288,0.020827937422591702
Elf1,0.2890625,0.934739352056685,0.020827937422591702
Egln1,0.31092436974789917,0.9491682422303335,0.020827937422591702
Prdm1,0.3125,0.9500906837638468,0.020827937422591702
Auts2,0.37254901960784315,0.9567741711349955,0.020827937422591702
Myef2,0.3277310924369748,0.9582800091221448,0.020827937422591702
Foxp1,0.484375,0.958970855899824,0.020827937422591702
Casp8,0.4140625,0.9629497577394963,0.020827937422591702
Pbx3,0.39215686274509803,0.968397446722692,0.020827937422591702
Ephb4,0.5210084033613446,0.9688630516852625,0.020827937422591702
Calcrl,0.4745762711864407,0.9711653900549457,0.020827937422591702
Ebf1,0.359375,0.9716318469143026,0.020827937422591702
Pbx1,0.3697478991596639,0.9751048689950395,0.020827937422591702
Taz,0.4215686274509804,0.9766572643813946,0.020827937422591702
Klf10,0.37815126050420167,0.9776396773107546,0.020827937422591702
Arnt,0.71875,0.9789074500877559,0.020827937422591702
Gria4,0.6372549019607843,0.9820711835804019,0.020827937422591702
Mcam,0.546875,0.9840219436594718,0.020827937422591702
Dach1,0.625,0.9843385983420248,0.020827937422591702
Id1,0.40625,0.984553539396984,0.020827937422591702
Foxo3,0.5169491525423728,0.9849677136384638,0.020827937422591702
Id3,0.4117647058823529,0.9856646391670316,0.020827937422591702
Bsg,0.42857142857142855,0.9886316977810679,0.020827937422591702
Ptk2,0.4369747899159664,0.9899022937992481,0.020827937422591702
Tfdp2,0.4453125,0.9910383695172243,0.020827937422591702
Ogdh,0.5042016806722689,0.991206914521956,0.020827937422591702
Smad1,0.4576271186440678,0.9925116914059811,0.020827937422591702
Slc6a6,0.46875,0.9936555855665574,0.020827937422591702
Foxj3,0.4765625,0.9943646789352568,0.020827937422591702
Npas3,0.4957983193277311,0.9958232900978148,0.020827937422591702
Clstn1,0.5,0.99609375,0.020827937422591702
Flrt2,0.5,0.99609375,0.020827937422591702
Itga1,0.5078125,0.9965561467381646,0.020827937422591702
Hdac7,0.6078431372549019,0.9965959470402905,0.020827937422591702
Bmpr2,0.5126050420168067,0.9968154486411418,0.020827937422591702
Maff,0.5234375,0.9973395265890174,0.020827937422591702
Nrp1,0.5784313725490197,0.9975502672349049,0.020827937422591702
Rel,0.5462184873949579,0.998202063341427,0.020827937422591702
Arl15,0.6666666666666666,0.9987964209357436,0.020827937422591702
Rac1,0.5882352941176471,0.9989216355785869,0.020827937422591702
Vav3,0.6862745098039216,0.9990674439586033,0.020827937422591702
Foxo1,0.7058823529411765,0.9992077192978857,0.020827937422591702
Gja1,0.59375,0.9992580972311771,0.020827937422591702
Igf2r,0.6050420168067226,0.9994078834877498,0.020827937422591702
Epha4,0.609375,0.9994578989137572,0.020827937422591702
Pkm,0.6171875,0.9995388004413231,0.020827937422591702
Junb,0.6218487394957983,0.9995818573964197,0.020827937422591702
Klf4,0.6386554621848739,0.9996643854792251,0.020827937422591702
Zfpm1,0.6328125,0.9996695520162769,0.020827937422591702
Rora,0.6470588235294118,0.9996918759239187,0.020827937422591702
Nr3c1,0.7265625,0.9998015298509128,0.020827937422591702
Nfatc1,0.6722689075630253,0.999866911305472,0.020827937422591702
Acvr1,0.6779661016949152,0.9998843321363192,0.020827937422591702
Vezf1,0.6796875,0.9998891869020089,0.020827937422591702
Lpl,0.6953125,0.9999257259511375,0.020827937422591702
Klf12,0.6974789915966386,0.9999298473122094,0.020827937422591702
Il2rg,0.734375,0.9999752171311194,0.020827937422591702
Nr6a1,0.8235294117647058,0.9999839197362235,0.020827937422591702
