gene,score,pvalue,fdr
Acvr2a,0.0078125,0.0003180377428611247,0.04261705754339071
Ccser1,0.078125,0.0053107028582921635,0.04261705754339071
Tek,0.018867924528301886,0.009950459003448486,0.04261705754339071
Ccnd1,0.03773584905660377,0.011591970920562744,0.04261705754339071
Zfhx3,0.125,0.014636883087181647,0.04261705754339071
Creb3l2,0.09433962264150944,0.019775390625,0.04261705754339071
Tfdp1,0.03125,0.0215301513671875,0.04261705754339071
Nrp2,0.05660377358490566,0.026955496519804,0.04261705754339071
Arid3b,0.0234375,0.04637432098388672,0.04261705754339071
Fkbp8,0.015625,0.061050355434417725,0.04261705754339071
Nr2c2,0.046875,0.07008863613009453,0.04261705754339071
Egfl7,0.1484375,0.0778984196273966,0.04261705754339071
Hspa5,0.125,0.08714513094955809,0.04261705754339071
Cd81,0.03125,0.1192617416381836,0.04261705754339071
Ncoa1,0.17391304347826086,0.13473766681650964,0.04261705754339071
Plagl1,0.18867924528301888,0.13789182901382446,0.04261705754339071
Kdr,0.0390625,0.14733081683516502,0.04261705754339071
Rad21,0.046875,0.1747235655784607,0.04261705754339071
Mpzl1,0.0625,0.17488021325949588,0.04261705754339071
Nr4a2,0.0546875,0.20145094022154808,0.04261705754339071
Fzd4,0.09375,0.20806457952908972,0.04261705754339071
Ets2,0.13043478260869565,0.21023845672607422,0.04261705754339071
Pik3r3,0.1015625,0.21023845672607422,0.04261705754339071
Creb5,0.109375,0.2250518798828125,0.04261705754339071
Cdkn1c,0.109375,0.23564547300338745,0.04261705754339071
Gclm,0.1875,0.26171875,0.04261705754339071
Flt4,0.07547169811320754,0.26939802529148726,0.04261705754339071
Crem,0.1796875,0.2883417010307312,0.04261705754339071
Icam2,0.2578125,0.3154020309448242,0.04261705754339071
Dusp3,0.1640625,0.34279173612594604,0.04261705754339071
Gjc1,0.140625,0.3704071044921875,0.04261705754339071
Unc5b,0.15625,0.38636744705424164,0.04261705754339071
Epas1,0.22641509433962265,0.4259214401245117,0.04261705754339071
Nfib,0.1328125,0.43447470292449,0.04261705754339071
Mxi1,0.32075471698113206,0.43979091569781303,0.04261705754339071
Crim1,0.1509433962264151,0.48030734754953475,0.04261705754339071
Flt1,0.4609375,0.48173083491361296,0.04261705754339071
Hsp90ab1,0.16981132075471697,0.518798828125,0.04261705754339071
Ncoa3,0.33962264150943394,0.5220982544124126,0.04261705754339071
Plxna2,0.171875,0.529690682888031,0.04261705754339071
Mecom,0.3359375,0.5355710983276367,0.04261705754339071
Igf1r,0.2421875,0.5622226595878601,0.04261705754339071
Klf7,0.1875,0.5641937255859375,0.04261705754339071
Dag1,0.1953125,0.5807152949273586,0.04261705754339071
Piezo2,0.203125,0.5967625975608826,0.04261705754339071
Smad5,0.203125,0.5967625975608826,0.04261705754339071
Fzd6,0.20754716981132076,0.6056392506363047,0.04261705754339071
Ncl,0.421875,0.6295928955078125,0.04261705754339071
Cd47,0.2265625,0.6421501003205776,0.04261705754339071
Foxk2,0.4339622641509434,0.6756906621158123,0.04261705754339071
Ctbp2,0.3671875,0.6815118115106036,0.04261705754339071
Pon3,0.265625,0.7091483473777771,0.04261705754339071
Eno1,0.2734375,0.7213289104402065,0.04261705754339071
Gng12,0.2830188679245283,0.7357403179856844,0.04261705754339071
Nr4a1,0.4716981132075472,0.7436927072703838,0.04261705754339071
Elf1,0.2890625,0.7445383630692959,0.04261705754339071
Disc1,0.296875,0.7555837035179138,0.04261705754339071
